target,tabpack,tabm,dcnv2,realmlp,gandalf,xgb_optuna,tabnet,resnet,catboost_optuna,fttransformer,tabr,xgb_default,lassonet
hsa-mir-378a-3p,0.8578274197604372,0.8474326477451847,0.817536294546694,0.8318539609129885,0.8371896011072285,0.8350484123836435,,0.8301774473102026,0.8105610010639577,0.8283542330630145,0.8405499836232393,0.7877670205403118,0.8201396070822059
hsa-mir-592,0.8279020559350422,0.8279963628117237,0.7699009820368616,0.8034553530127027,0.7915262609359974,0.8131444335761464,,0.8126903911576079,0.8046223214286414,0.8114339085704059,0.8239896394685747,0.7889084242467878,0.8008300418445562
hsa-mir-887-3p,0.8441048950238794,0.8520809421759283,0.810762376760815,0.8270661921847853,0.8215324052416008,0.824968981441664,,0.8263435822327911,0.8148910969366121,0.8215249900809458,0.8348687924818199,0.7909556976297476,
hsa-mir-708-5p,0.8417048733033419,0.8497571759797005,0.7911472676366991,0.8259816019296865,0.8119342245933792,0.8325889059021089,,0.818195766332642,0.8274298619279101,0.822897945681345,0.81939209280625,0.7951824930401556,
hsa-mir-449a,0.8258548042028862,0.8306011248076408,0.7980827062900817,0.8131471240944821,0.8206839149828283,0.810406097903873,,0.8076043794989599,0.8084701954483752,0.8117848052017742,0.8262063254615493,0.7980889066378671,0.809396661456613
hsa-mir-382-5p,0.8580484834272556,0.862304367045231,0.8148969435452355,0.8445330667969803,0.8367087501624126,0.8532849136697886,,0.8335664405512659,0.8419342058648936,0.8452989971361256,0.8456213861801567,0.8261364463802192,
hsa-mir-26a-5p,0.8537496177859781,0.8509101454472556,0.8417635316718753,0.8429378197955065,0.839532068192561,0.8330690370979169,,0.8375599333312629,0.8400019240369239,0.8347397411237198,0.835130470634189,0.8272814918851769,0.835552643630611
hsa-mir-135a-5p,0.8775490236722557,0.8772181543411178,0.8621475168850488,0.8708419816595944,0.8651854256608729,0.8633808501716936,0.8571378193463485,0.8649154313095428,0.8539696352357468,0.8660165419992161,0.8746637871595166,0.8347822211671205,0.862997627625841
hsa-mir-423-5p,0.8659737356062259,0.8605451462291991,0.8475314976795633,0.8456495928731417,0.8349861866233497,0.8567373241302113,,0.8520583671518592,0.8568467472067894,0.8577418185205234,0.8461647862293487,0.8361492497066907,0.8502931046086367
hsa-mir-374a-3p,0.9054233229475892,0.9044627868129012,0.8822947910145966,0.9027915840581944,0.889314480745492,0.8673236891172031,,0.8909861825610952,0.8575985231151794,0.872243474976524,0.890693986231027,0.8376491501198281,
