,URS,miRNA_name
393,URS00007E4F21,Hsa-Mir-181-P1c_5p
394,URS00005AF7FD,Hsa-Mir-181-P1c_3p
395,URS00005FB8F2,Hsa-Mir-181-P2c_5p
396,URS000075BC1D,Hsa-Mir-181-P2c_3p
397,URS0000EFC670,Hsa-Mir-1270_3p
398,URS00002E0524,hsa-miR-1270
399,URS0000D565DE,Hsa-Mir-330-v1_3p
400,URS0000EFBCA6,Hsa-Mir-330-v2_5p
401,URS00000F2C33,hsa-miR-642a-5p
402,URS00000E7139,hsa-miR-642a-3p
403,URS00004E008F,hsa-miR-769-5p
404,URS0000EFBEF7,Hsa-Mir-769_3p
405,URS00007E46EF,Hsa-Mir-150_3p
406,URS000016FD1A,hsa-miR-150-5p
407,URS00002C10B3,hsa-miR-99b-5p
408,URS00001C308D,hsa-miR-99b-3p
409,URS000000B1C9,hsa-let-7e-5p
410,URS0000409B45,hsa-let-7e-3p
411,URS00005A4DCF,hsa-miR-125a-5p
412,URS00001F0C23,hsa-miR-125a-3p
413,URS0000EFD4D1,Hsa-Mir-430-P8b_5p
414,URS000020F110,hsa-miR-512-3p
415,URS000058276F,hsa-miR-1323
416,URS00007E4C0F,Hsa-Mir-430-P9_3p
417,URS00004CCA62,hsa-miR-498-5p
418,URS0000EFCDAC,Hsa-Mir-430-P10_3p
419,URS0000EFD4CE,Hsa-Mir-430-P11_5p
420,URS0000EFD3A8,Hsa-Mir-430-P11_3p
421,URS00000A68B2,hsa-miR-515-5p
422,URS000075DC5B,hsa-miR-515-3p
423,URS000075AC86,hsa-miR-519e-5p
424,URS0000EFC9D1,Hsa-Mir-430-P13_3p
425,URS000075BA1C,hsa-miR-520f-5p
426,URS0000EFDC92,Hsa-Mir-430-P14_3p
427,URS00005ECFE5,hsa-miR-518e-5p
428,URS000037D7E5,hsa-miR-519c-3p
429,URS0000EFCB58,Hsa-Mir-430-P16b_5p
430,URS0000EFEF84,Hsa-Mir-430-P16a_3p
431,URS0000534239,hsa-miR-520a-5p
432,URS0000EFE5E7,Hsa-Mir-430-P17_3p
433,URS0000EFE349,Hsa-Mir-430-P18_5p
434,URS000038B25B,hsa-miR-526b-3p
435,URS00003883FE,hsa-miR-519b-3p
436,URS0000EFCD47,Hsa-Mir-430-P20_5p
437,URS000075C235,hsa-miR-525-3p
438,URS0000EFC7D9,Hsa-Mir-430-P21_3p
439,URS000041D720,Hsa-Mir-430-P26_5p
440,URS0000EFD587,Hsa-Mir-430-P22_3p
441,URS0000EFC6A8,Hsa-Mir-430-P24_5p
442,URS00003676C9,hsa-miR-518b
443,URS000049A7EB,hsa-miR-520c-3p
444,URS0000EFE65E,Hsa-Mir-430-P27_5p
445,URS000001156F,Hsa-Mir-430-P27_3p
446,URS00003E236A,hsa-miR-524-5p
447,URS0000EFF281,Hsa-Mir-430-P28_3p
448,URS0000227241,hsa-miR-517-5p
449,URS00000D4AB5,hsa-miR-517b-3p
450,URS0000301C0E,Hsa-Mir-430-P30_5p
451,URS00003122BC,Hsa-Mir-430-P30_3p
452,URS0000EFC847,Hsa-Mir-430-P31a_5p
453,URS00001DBB42,hsa-miR-521
454,URS000019784B,Hsa-Mir-430-P32_5p
455,URS000075D962,hsa-miR-520d-3p
456,URS0000EFE891,Hsa-Mir-430-P33b_5p
457,URS0000EFEC23,Hsa-Mir-430-P33b_3p
458,URS0000EFB9E5,Hsa-Mir-430-P34a_5p
459,URS0000EFD20C,Hsa-Mir-430-P41b_3p
460,URS0000EFF4A0,Hsa-Mir-430-P36_3p
461,URS0000EFDE27,Hsa-Mir-430-P37b_3p
462,URS00004E7DAF,Hsa-Mir-430-P34b_5p
463,URS00003FBECA,hsa-miR-517c-3p
464,URS0000EFF454,Hsa-Mir-430-P31b_5p
465,URS000075E661,hsa-miR-522-3p
466,URS0000EFEC86,Hsa-Mir-430-P40a_5p
467,URS0000135E29,hsa-miR-519a-3p
468,URS0000EFEDDE,Hsa-Mir-430-P41b_5p
469,URS0000EFB9EB,Hsa-Mir-430-P16b_3p
470,URS00004B8193,Hsa-Mir-430-P23_5p
471,URS0000EFC15A,Hsa-Mir-430-P5_5p
472,URS000075B452,hsa-miR-371a-3p
473,URS000075B4E5,hsa-miR-372-5p
474,URS0000759ECA,hsa-miR-372-3p
475,URS000075AC39,hsa-miR-373-5p
476,URS0000508C13,hsa-miR-373-3p
477,URS0000EFEB6F,Hsa-Mir-935-v2_5p
478,URS000033EBB8,hsa-miR-935
479,URS00000FC8EB,hsa-miR-1301-3p
480,URS0000EFE356,Hsa-Mir-1301_5p
481,URS000075C6FD,Hsa-Mir-217-v2_3p
482,URS0000EFCBDA,Hsa-Mir-217-v2_5p
483,URS00000458CF,Hsa-Mir-216-P2b_3p
484,URS00007E375B,Hsa-Mir-216-P2b_5p
485,URS0000EFCE48,Hsa-Mir-216-P2a_3p
486,URS000046CDA6,hsa-miR-216b-5p
487,URS0000022AAA,hsa-miR-3126-5p
488,URS0000052E4D,hsa-miR-3126-3p
489,URS0000170D8B,hsa-miR-3127-5p
490,URS0000292363,hsa-miR-3127-3p
491,URS0000537082,hsa-miR-128-1-5p
492,URS000024A59E,hsa-miR-128-3p
493,URS000075A952,Hsa-Mir-10-P1b-v2_5p
494,URS00005C4DD5,Hsa-Mir-10-P1b-v2_3p
495,URS000040828B,hsa-miR-561-5p
496,URS000075D1DD,hsa-miR-561-3p
497,URS0000306FCC,Hsa-Mir-2355_3p
498,URS00003A2C6C,Hsa-Mir-2355_5p
499,URS00000E73CB,Hsa-Mir-26-P2_5p
500,URS000003ABC4,Hsa-Mir-26-P2_3p
501,URS00000ED600,hsa-miR-375-3p
502,URS000075CCDA,hsa-miR-375-5p
503,URS0000068B85,hsa-miR-153-3p
504,URS000075ACEA,Hsa-Mir-153-P2_5p
505,URS0000533099,hsa-miR-2467-3p
506,URS0000D52110,Hsa-Mir-2467_5p
507,URS00001C770D,hsa-miR-149-5p
508,URS000075A34E,Hsa-Mir-149_3p
509,URS000031E300,has-miR-mizuguchi-229
510,URS0000476BE1,hsa-miR-103a-3p
511,URS000017B171,Hsa-Mir-499_5p
512,URS000075BB59,hsa-miR-499a-3p
513,URS000075EDB5,hsa-miR-3617-3p
514,URS000012846D,hsa-miR-3617-5p
515,URS000048D44E,hsa-miR-3194-3p
516,URS00002C5B6C,Hsa-Mir-3194_5p
517,URS000075A439,Hsa-Mir-296_3p
518,URS00001C3AC1,hsa-miR-296-5p
519,URS0000332B22,Hsa-Mir-1-P3_5p
520,URS0000EFF0CE,Hsa-Mir-124-P3-v2_5p
521,URS00000ADB79,hsa-miR-124-3p
522,URS0000EFDA0A,Hsa-Mir-1914_3p
523,URS0000EFD0AE,Hsa-Mir-1914_5p
524,URS0000157026,hsa-miR-99a-5p
525,URS00007E3F2D,Hsa-Mir-10-P2c_3p
526,URS000050DE77,hsa-let-7c-5p
527,URS000060A34C,hsa-let-7c-3p
528,URS00004FCB5F,Hsa-Mir-10-P3c_3p
529,URS0000D54CAD,hsa-miR-155-5p
530,URS000034309A,hsa-miR-155-3p
531,URS000075AA73,Hsa-Mir-459_5p
532,URS0000D50113,Hsa-Mir-459_3p
533,URS00004176D4,hsa-miR-185-5p
534,URS00004A4E27,Hsa-Mir-185_3p
535,URS00002EF20A,hsa-miR-1286
536,URS0000EFDDED,Hsa-Mir-1286_5p
537,URS000076F524,hsa-miR-301b-5p
538,URS0000251D0B,hsa-miR-301b-3p
539,URS00003BD810,Hsa-Mir-130-P4a_5p
540,URS00002C0FCB,hsa-miR-130b-3p
541,URS00004A4659,microRNA hsa-miR-3200-5p
542,URS000000CFDB,has-miR-mizuguchi-153
543,URS0000EFDC51,Hsa-Mir-3909_5p
544,URS000022B729,hsa-miR-3909
545,URS0000EFEA85,Hsa-Mir-4766_3p
546,URS00007E4E45,Hsa-Mir-4766_5p
547,URS0000483184,hsa-miR-33a-5p
548,URS000015B89D,Hsa-Mir-33-P3_3p
549,URS000060AABB,hsa-miR-1249-3p
550,URS0000EFE252,Hsa-Mir-1249_5p
551,URS000053966D,hsa-miR-3619-5p
552,URS0000EFEBBA,Hsa-Mir-3619_3p
553,URS000004F5D8,hsa-let-7a-3p
554,URS0000324096,hsa-let-7b-5p
555,URS000075A5AC,Hsa-Let-7-P2b2_3p
556,URS00003F4546,hsa-miR-885-3p
557,URS0000246356,hsa-miR-885-5p
558,URS000075ECF1,hsa-miR-128-2-5p
