target,fallback_best_solo,best_solo_model,ridge_intercept,ridge_alpha,tune_r2,coef_catboost_optuna,effective_catboost_optuna,coef_tabm,effective_tabm,coef_resnet,effective_resnet,abs_share_catboost_optuna,effective_share_catboost_optuna,abs_share_tabm,effective_share_tabm,abs_share_resnet,effective_share_resnet
hsa-mir-378a-3p,False,,1.0019257297522213,49.238826317067414,0.2733637282421011,0.0976355871212312,0.0976355871212312,0.39395607790961923,0.39395607790961923,0.4159872738490646,0.4159872738490646,0.10757806614786343,0.10757806614786343,0.43407362272621547,0.43407362272621547,0.45834831112592106,0.45834831112592106
hsa-mir-382-5p,False,,0.06506797932136887,1193.776641714438,0.4344145860591053,0.24984139992162827,0.24984139992162827,0.3304340584805056,0.3304340584805056,0.33941984839277256,0.33941984839277256,0.27165670855961355,0.27165670855961355,0.35928644632541645,0.35928644632541645,0.36905684511496994,0.36905684511496994
hsa-mir-3934-5p,False,,0.152214807689076,70.1703828670383,0.017735155408236114,0.09823548996635521,0.09823548996635521,0.22435530198788337,0.22435530198788337,0.29989364585056266,0.29989364585056266,0.15781196123196883,0.15781196123196883,0.3604191339771883,0.3604191339771883,0.48176890479084294,0.48176890479084294
hsa-mir-411-5p,False,,0.055260309060939095,142.51026703029993,0.15800692971367036,0.13726377604180348,0.13726377604180348,0.41750716312469416,0.41750716312469416,0.21144982364948858,0.21144982364948858,0.17914390043064968,0.17914390043064968,0.5448914769553976,0.5448914769553976,0.27596462261395266,0.27596462261395266
hsa-mir-423-5p,False,,0.9433053742449005,2.894266124716752,0.5936680863836618,0.5055333751484176,0.5055333751484176,0.1190127286715026,0.1190127286715026,0.30811448502105554,0.30811448502105554,0.5420335984998012,0.5420335984998012,0.12760561569284343,0.12760561569284343,0.3303607858073554,0.3303607858073554
hsa-mir-449a,False,,0.017688190155876526,49.238826317067414,0.04727707316183272,0.30242214359014835,0.30242214359014835,0.2166320498621431,0.2166320498621431,0.1171854104617777,0.1171854104617777,0.47532744225553375,0.47532744225553375,0.3404881565521054,0.3404881565521054,0.1841844011923609,0.1841844011923609
hsa-mir-4731-3p,True,catboost_optuna,0.01570119781104834,49.238826317067414,0.05319589486650811,0.4344949094508764,1.0,0.30286442520328444,0.0,0.21608711546850876,0.0,0.45570981925096543,1.0,0.317652265802991,0.0,0.22663791494604357,0.0
hsa-mir-486-5p,False,,0.11709913401501293,1193.776641714438,0.5710348143570154,0.3383178686183434,0.3383178686183434,0.35405846490392023,0.35405846490392023,0.2925416504480168,0.2925416504480168,0.34349851878484133,0.34349851878484133,0.35948015029300534,0.35948015029300534,0.2970213309221533,0.2970213309221533
hsa-mir-487a-3p,False,,0.03641850877980435,837.6776400682924,0.6237496198718294,0.2899059004882057,0.2899059004882057,0.3426023448771769,0.3426023448771769,0.3309897390260358,0.3309897390260358,0.30088895377536384,0.30088895377536384,0.35558179718827065,0.35558179718827065,0.34352924903636556,0.34352924903636556
hsa-mir-495-3p,False,,-0.09744962504496746,587.8016072274911,0.8727273919140567,0.36918582691198015,0.36918582691198015,0.3623649581526377,0.3623649581526377,0.27468510716875505,0.27468510716875505,0.36689789120179395,0.36689789120179395,0.36011929305001933,0.36011929305001933,0.27298281574818667,0.27298281574818667
hsa-mir-503-3p,False,,0.014995852418290045,289.4266124716752,0.2006812973739851,0.4061287682158039,0.4061287682158039,0.3169021205489858,0.3169021205489858,0.21635187274745665,0.21635187274745665,0.4323357686083208,0.4323357686083208,0.3373514328055449,0.3373514328055449,0.23031279858613435,0.23031279858613435
hsa-mir-532-3p,False,,0.122569400944462,412.4626382901356,0.318159182732494,0.5433859425988856,0.5433859425988856,0.26287077064906494,0.26287077064906494,0.1717926202599553,0.1717926202599553,0.5555813229277081,0.5555813229277081,0.2687704614104111,0.2687704614104111,0.17564821566188066,0.17564821566188066
